model,R2,RMSE,epochs,seed
dynamic patience 1,0.6443736553192139,2.7003955841064453,729,13561597
dynamic patience 1,0.7026166915893555,2.4693844318389893,829,85329037
dynamic patience 1,0.6460889577865601,2.693875312805176,676,36687537
dynamic patience 1,0.7051536440849304,2.458828926086426,985,97226012
dynamic patience 1,0.7229567766189575,2.383439540863037,1051,83140807
dynamic patience 1,0.7227970361709595,2.384126901626587,746,66306997
dynamic patience 1,0.6391599178314209,2.720118284225464,497,39587039
dynamic patience 1,0.6490613222122192,2.6825389862060547,698,70291817
dynamic patience 1,0.7024770975112915,2.469964027404785,800,89089901
dynamic patience 1,0.6016049981117249,2.8581652641296387,744,47338124
dynamic patience 1,0.6707620620727539,2.598276376724243,606,10872248
dynamic patience 5,0.6870192289352417,2.5333151817321777,926,95822412
dynamic patience 5,0.6409192085266113,2.7134790420532227,639,24942603
dynamic patience 5,0.669942319393158,2.6015090942382812,891,13356886
dynamic patience 5,0.6465570330619812,2.6920931339263916,617,46913810
dynamic patience 5,0.6603710651397705,2.6389596462249756,547,42868828
dynamic patience 5,0.6616244316101074,2.6340858936309814,463,39958838
dynamic patience 5,0.6512451171875,2.6741795539855957,517,28728463
dynamic patience 5,0.68592768907547,2.537729024887085,955,23756669
dynamic patience 5,0.6552016735076904,2.6589672565460205,707,83197857
dynamic patience 5,0.691943883895874,2.513305902481079,786,21668732
dynamic patience 5,0.6692665219306946,2.60417103767395,854,89254563
dynamic patience 5,0.6613657474517822,2.635092258453369,717,66629388
dynamic patience 5,0.638996958732605,2.7207324504852295,812,14265799
dynamic patience 5,0.6280460953712463,2.761690378189087,633,13999315
dynamic patience 5,0.6559521555900574,2.656071901321411,653,22575562
dynamic patience 5,0.6624601483345032,2.630831003189087,591,39345092
dynamic patience 5,0.7227224111557007,2.3844475746154785,987,41227216
dynamic patience 5,0.6365587711334229,2.729904890060425,737,77827638
dynamic patience 5,0.6399776339530945,2.7170345783233643,1111,90801586
dynamic patience 5,0.6357958316802979,2.7327685356140137,601,13561597
dynamic patience 5,0.6417809724807739,2.7102210521698,1041,85329037
dynamic patience 5,0.596084475517273,2.8778998851776123,531,36687537
dynamic patience 5,0.6840387582778931,2.54534912109375,921,97226012
dynamic patience 5,0.683427095413208,2.547811508178711,873,83140807
dynamic patience 5,0.6637568473815918,2.625772714614868,791,66306997
